Country,Province,District,VDC/Municipality,Ward No.,Tole
Nepal,Koshi Province,SUNSARI,Harinagar Rural Municipality,,
Nepal,Koshi Province,SUNSARI,Dewangunj Rural Municipality,,
Nepal,Koshi Province,SUNSARI,Barju Rural Municipality,,
Nepal,Koshi Province,UDAYAPUR,Belaka Urban Municipality,,
Nepal,Koshi Province,UDAYAPUR,Chaudandigadhi Urban Municipality,,
Nepal,Koshi Province,UDAYAPUR,Triyuga Urban Municipality,,
Nepal,Koshi Province,UDAYAPUR,Rautamai Rural Municipality,,
Nepal,Koshi Province,UDAYAPUR,Limchungbung Rural Municipality,,
Nepal,Koshi Province,UDAYAPUR,Tapli Rural Municipality,,
Nepal,Koshi Province,UDAYAPUR,Katari Urban Municipality,,
Nepal,Koshi Province,UDAYAPUR,Udayapurgadhi Rural Municipality,,
Nepal,Madhesh Province,SAPTARI,Saptakoshi Urban Municipality,,
Nepal,Madhesh Province,SAPTARI,Kanchanrup Urban Municipality,,
Nepal,Madhesh Province,SAPTARI,Agnisair Krishna Sabaran Rural Municipality,,
Nepal,Madhesh Province,SAPTARI,Rupani Rural Municipality,,
Nepal,Madhesh Province,SAPTARI,Shambhunath Urban Municipality,,
Nepal,Madhesh Province,SAPTARI,Khadak Urban Municipality,,
Nepal,Madhesh Province,SAPTARI,Surunga Urban Municipality,,
Nepal,Madhesh Province,SAPTARI,Balan-Bihul Rural Municipality,,
Nepal,Madhesh Province,SAPTARI,Bode Barsain Urban Municipality,,
Nepal,Madhesh Province,SAPTARI,Dakneshwori Urban Municipality,,
Nepal,Madhesh Province,SAPTARI,Rajgadh Rural Municipality,,
Nepal,Madhesh Province,SAPTARI,Bishnupur Rural Municipality,,
Nepal,Madhesh Province,SAPTARI,Rajbiraj Urban Municipality,,
Nepal,Madhesh Province,SAPTARI,Mahadewa Rural Municipality,,
Nepal,Madhesh Province,SAPTARI,Tirahut Rural Municipality,,
Nepal,Madhesh Province,SAPTARI,Hanumannagar Kankalini Urban Municipality,,
Nepal,Madhesh Province,SAPTARI,Tilathi Koiladi Rural Municipality,,
Nepal,Madhesh Province,SAPTARI,Chhinnamasta Rural Municipality,,
Nepal,Madhesh Province,SIRAHA,Lahan Urban Municipality,,
Nepal,Madhesh Province,SIRAHA,Dhangadhimai Urban Municipality,,
Nepal,Madhesh Province,SIRAHA,Golbazar Urban Municipality,,
Nepal,Madhesh Province,SIRAHA,Mirchaiya Urban Municipality,,
Nepal,Madhesh Province,SIRAHA,Karjanha Urban Municipality,,
Nepal,Madhesh Province,SIRAHA,Kalyanpur Urban Municipality,,
Nepal,Madhesh Province,SIRAHA,Naraha Rural Municipality,,
