Uuid,Void/Retire,Short name:en,Fully specified name:en,Fully specified name:fr,Data class,Data Type,Members,_version:1,_order:500
d235c73a-215f-3c00-b544-44d2c2f1317f,,,Foley Catheter -8 Fr(Balloon Two Way),,Medical supply,N/A,,,
6770fd12-99de-3ba4-b402-1de9fc19334c,,,Frog Sprint -Large,,Medical supply,N/A,,,
85ec3d6e-614f-3529-b22b-0eeba3a2b10c,,,Glucose Strip -(Test Strips),,Medical supply,N/A,,,
ead7b86f-4600-3fc5-8c62-d55398dedf6c,,,Hernia Kit,,Medical supply,N/A,,,
71b2d291-5d0f-3db9-95e7-e60dba387ffe,,,Hup Puf Kit,,Medical supply,N/A,,,
24cd2b4c-e877-3858-9dba-f75e6cbf249b,,,I.V Infusion Set -20D/Ml(Infusion Set),,Medical supply,N/A,,,
e0c49c2f-007c-35fd-841c-77d4839340f5,,,Iv Cannula -18 G,,Medical supply,N/A,,,
10e415c2-347e-32a0-bef2-ddb2f6597d88,,,Iv Cannula -20 G,,Medical supply,N/A,,,
712cbb55-6e80-3540-af35-a965fc9af61c,,,Iv Cannula -26 G,,Medical supply,N/A,,,
f6743140-bc9f-319a-bca7-cf8a3fe684db,,,Knee Cap -Small()(Knee Cap-S),,Medical supply,N/A,,,
5b59dcbe-df23-3893-8141-8d608f21c80b,,,Lumber Belt   -Medium(Lumber Belt -M),,Medical supply,N/A,,,
fae0a94c-b5cf-3dd6-a920-4fb4f1f5f4c1,,,Lumber Belt All Sizes,,Medical supply,N/A,,,
2873f52d-3645-3969-b64e-141deb810af7,,,Mersilk 0,,Medical supply,N/A,,,
632f6440-544f-33a1-9fd9-b9cfd827f93b,,,Microdrip Set -(Disposable)(Microdrip Set-Disposable),,Medical supply,N/A,,,
4d1e9456-5a91-3408-8196-0f9cc0089c07,,,Monofilament Polypropylene Blue -0(Prolene 0),,Medical supply,N/A,,,
3ca9b001-a0d7-30c4-817f-6d99e919e25b,,,Monofilament Polypropylene Blue -2-0(Nw-807)(Prolene 2-0),,Medical supply,N/A,,,
f436dd60-8c66-3555-a7da-7484fe00453a,,,Monofilament Propylene Blue 4-0 (Cutting Body) -4.0(Non Absorbable-Spp870)(Prolene 4.0 C.V),,Medical supply,N/A,,,
1499f672-15ca-3070-94dc-408b77afee85,,,Nebulizer With Mask -Adult()(Nebulizer With Mask-(Adult/Child),,Medical supply,N/A,,,
898d7e15-2197-3ee4-8249-64553ee075e3,,,N-G Tube -8 Fr()(Ng Tube 6),,Medical supply,N/A,,,
b7885f79-6c8a-328e-9316-517d4a944d40,,,Non Absorbable Surgical Suture -1,,Medical supply,N/A,,,
29166d3c-5060-35ea-9e98-d4ed46ce79f9,,,Non Absorbable Surgical Suture -1(Proline 1),,Medical supply,N/A,,,
569a5a26-068e-3b3c-b088-73231e62cd93,,,Non Absorbable Surgical Suture -1(Silk 1),,Medical supply,N/A,,,
0a504751-80f5-38d0-b7b3-beb25b34cbd7,,,Non Absorbable Surgical Suture -1(Vicryl 4-0),,Medical supply,N/A,,,
09a25192-b9ef-3d75-ac3c-92439ef23430,,,Oxygen Mask Adult,,Medical supply,N/A,,,
77114e82-126a-3902-9299-3f35275b290b,,,Pelvic Binder -Large(Pelvic Binder- L),,Medical supply,N/A,,,
deefc2ca-9167-3bce-a262-2985409d5b82,,,Plaster Bandage -10Cm X 2.7 M(Bandage),,Medical supply,N/A,,,
0a78d46c-3ca0-3369-b4b1-9ac0de1ddb5e,,,Plaster Bandage -15Cm X 2.7 M(Bandage)(Plaster Of Peris),,Medical supply,N/A,,,
56bf9727-81a0-3371-9dc7-3fc914d2b656,,,Polypropylene Monofilament -3-0(Prolene),,Medical supply,N/A,,,
a023d7d9-f96f-3e67-89e7-adca5d9cd3db,,,Polypropylene Monofilament -5-0(Prolene),,Medical supply,N/A,,,
99433c3b-f8bc-35e9-8583-5d09d0bde081,,,Respiratory Exerciser -(3 Ball Model),,Medical supply,N/A,,,
a9e0a447-0c0b-3e18-bfd6-88edc064c188,,,Roller Bandage -10Cmx3M(Rolled Bandage)(Gauze Bandage),,Medical supply,N/A,,,
8039ed01-cf6c-3c8b-afd6-7707f8fbfbd5,,,Roller Bandage -15Cmx3M(Rolled Bandage)(Gauze Bandage 15X3),,Medical supply,N/A,,,
d556dec1-e900-363b-b4cf-80e7de392983,,,Romovac Drain Set -16,,Medical supply,N/A,,,
f06bd5d2-6d1b-3ebf-8834-2d2d9813d0ab,,,Ryles Tube -14,,Medical supply,N/A,,,
fc938199-b817-34bc-bd7e-96876081826f,,,Ryles Tube -14(Stomach Tube With Stopper),,Medical supply,N/A,,,
7ec61444-e0b2-3559-b5b2-eae09f354450,,,Ryles Tube -16()(Ryles Tube- 16 (Ng Tube)),,Medical supply,N/A,,,
8a79a7aa-9dbf-3125-9e18-492e5e2da145,,,Ryles Tube -8()(Ryles Tuube-8),,Medical supply,N/A,,,
c36d4b13-a33b-3d91-b6ba-3f53d420a78b,,,Ryles Tube -Fg-12(Rylo -12),,Medical supply,N/A,,,
54b2421a-c077-3112-baec-904d0635024e,,,Silk 2-0,,Medical supply,N/A,,,
0da37041-10f6-3490-94a2-623b1bd9e739,,,Silk 3-0,,Medical supply,N/A,,,
b30899b5-305f-30fb-a2d1-01e142ed4987,,,Sterile Hypodermic Syringe -50 Ml(Syringe),,Medical supply,N/A,,,
9414e80d-fdec-379b-b867-04f8bb402567,,,Suction Catheter All Size,,Medical supply,N/A,,,
49d3497e-88e5-3a1d-97d8-82dce81ea5ba,,,Surgical Blade -11,,Medical supply,N/A,,,
