Uuid,Void/Retire,Same as mappings,Fully specified name:en,Fully specified name:fr,Short name:en,Short name:fr,Description:en,Description:fr,Data class,Data type,Answers,Members,_version:1,_order:1001
1114AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,CIEL:1114;AMPATH:1114;PIH:1335,Vital signs,Signes vitaux,Vital Signs,Signes vitaux,Convenience set. Listing of vital signs.,,ConvSet,N/A,,5085AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA;5086AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA;5088AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA;5090AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA;5089AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA;5087AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA;5092AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA;1343AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA;5242AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA;5283AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,
,,,Medical Orderability,,,,,,ConvSet,N/A,,"3 Way Cannula;Abdominal Drainage Bag 2000Ml-(Abdominal Drainage Bag 2000 Ml)(Abdominal Drainage Bag 2000);Absorbable Surgical Item Suture -2-0 (Catgut 1-0);Absorbable Surgical Suture -2-0 (Catgut 1-0);Absorbable Surgical Suture -2-0(Catgut 3-0);Absorbable Surgical Suture -2-0(Catgut 4-0);Absorbable Surgical Suture -2-0(Trugut 2);Absorbable Surgical Suture -2-0(Vicryl 3-0);Adhesive Tape -10Cm X 4/6 M;Adhesive Tape -10Cm X 5M(Adhesive Tape)(Elastic Adhesive Banfdage);Adult Dyper(Adult Dyper);Ankle Binder -Large(Anklet)(Anklet-L);Arm Sling Pouch All Size(L,M,S);Autoclave Indicator Tape -(Surgical)(Indicator Tape);Baby Diapper (All Size);Baby Wipes Sensitive;Balloon Catheter -16Fr(Folley Balloon Catheter);Braided Silk -1-0(Silk);Braided Silk -4-0(Cut-Ab);Cannula 16 No;Cannula Fix;Cannula No 22;Catgut 2;Central Venous Catheter Kit;Cervical Collar All Sizes;Chest Drain Catheter -18(Chest Tube Drain- 18);Chest Drain Catheter -24(Chest Tube Drain- 24);Chest Tube  Rs. 250;Chest Tube 20;Chest Tube 28;Chet Tube 28;Chromic Catgut -1-0(Catgut);Chromic Catgut -5-0(Catgut);Coated Polyglactin 910 -1 (90 Cm )(Vicryl 1);Coated Polyglactin 910 -2-0 (90 Cm )(Aw-Round Bodied)(Vicryl 2-0);Crepe Bandage -4()(Ortho-Grip);Crepe Bandage -6()(Ortho-Grip);Ecg Leads -(Chest Leads)(Ecg Lead);Ecg Paper -63Mm*30M()(Ecg Paper);Elbow Support -Large (Tennis Elbow Support- L);Et Tbue(Et Tube);Et Tube -(All Size (Adult))(Endotracheal Tube);Et Tube Child (All Size) -()(Endotracheal Tube);Finger Splint;Flamiplast -(Deuroplast);Foley Catheter -12 Fr(Balloon Two Way);Foley Catheter -14 Fr(Balloon-Silicon Coated);Foley Catheter -16 Fr(Balloon);Foley Catheter -18 Fg(Balloon);Foley Catheter -8 Fr(Balloon Two Way);Frog Sprint -Large;Glucose Strip -(Test Strips);Hernia Kit;Hup Puf Kit;I.V Infusion Set -20D/Ml(Infusion Set);Iv Cannula -18 G;Iv Cannula -20 G;Iv Cannula -26 G;Knee Cap -Small()(Knee Cap-S);Lumber Belt   -Medium(Lumber Belt -M);Lumber Belt All Sizes;Mersilk 0;Microdrip Set -(Disposable)(Microdrip Set-Disposable);Monofilament Polypropylene Blue -0(Prolene 0);Monofilament Polypropylene Blue -2-0(Nw-807)(Prolene 2-0);Monofilament Propylene Blue 4-0 (Cutting Body) -4.0(Non Absorbable-Spp870)(Prolene 4.0 C.V);Nebulizer With Mask -Adult()(Nebulizer With Mask-(Adult/Child);N-G Tube -8 Fr()(Ng Tube 6);Non Absorbable Surgical Suture -1;Non Absorbable Surgical Suture -1(Proline 1);Non Absorbable Surgical Suture -1(Silk 1);Non Absorbable Surgical Suture -1(Vicryl 4-0);Oxygen Mask Adult;Pelvic Binder -Large(Pelvic Binder- L);Plaster Bandage -10Cm X 2.7 M(Bandage);Plaster Bandage -15Cm X 2.7 M(Bandage)(Plaster Of Peris);Polypropylene Monofilament -3-0(Prolene);Polypropylene Monofilament -5-0(Prolene);Respiratory Exerciser -(3 Ball Model);Roller Bandage -10Cmx3M(Rolled Bandage)(Gauze Bandage);Roller Bandage -15Cmx3M(Rolled Bandage)(Gauze Bandage 15X3);Romovac Drain Set -16;Ryles Tube -14;Ryles Tube -14(Stomach Tube With Stopper);Ryles Tube -16()(Ryles Tube- 16 (Ng Tube));Ryles Tube -8()(Ryles Tuube-8);Ryles Tube -Fg-12(Rylo -12);Silk 2-0;Silk 3-0;Sterile Hypodermic Syringe -50 Ml(Syringe);Suction Catheter All Size;Surgical Blade -11;Surgical Blade -21;Surgical Blade All Sizes -()(Blade);Surgical Item Blade -11(Surgical Item Blade-11);Surgical Item Blade -21(Surgical Item Blade);Surgical Item Blade All Sizes -(Blade);Syringe -10 Ml(Disposable)(Syringe 10Ml);Syringe -10(Disposable);Syringe -20 Ml(Disposable);Thoracic Catheter -24;Thoracic Catheter -28;Urine Bag -2000Ml(Single Use Uro Bag)(Urine Bag);Ventury Mask;Vicryl -0(-W3)(Vicryl);Vicryl -1-0(-W3)(Vicryl);Vicryl -2(Vick);Vicryl -2(Vicryl 2-0);Water Sealed Bag;Wrist And Fore Arm Siling;Zerostat Vt Spacer",,
